	K00855: PRK, prkB	K01601: rbcL, cbbL	K01602: rbcS, cbbS	K00927: PGK, pgk	K00150: gap2	K00134: GAPDH, gapA	K01623: ALDO	K01624: FBA, fbaA	K03841: FBP, fbp	K02446: glpX	K11532: glpX-SEBP	K01086: fbp-SEBP	K00615: E2.2.1.1, tktA, tktB	K01807: rpiA	K01808: rpiB
KS-C1-L1	5350.9	6695.5	3509.5	43935.94999999999	317.0	53957.58	3803.0	18580.84	9579.58	8135.42	4193.0	2.0	61985.88	11352.41	33593.77
KS-C1-L10	4281.6	5540.5	2575.0	43766.06999999999	280.0	52773.17999999999	3543.0	16824.48	7953.620000000001	8448.970000000001	4099.17	4.0	63296.90999999999	9291.12	35697.42999999999
KS-C1-L5	2983.67	4544.0	2324.0	44174.48	252.5	51941.36	1263.0	14101.419999999998	7414.25	3339.15	1490.5	4.0	63010.46	5956.67	38802.69
KS-C2-L1	6045.5	8914.5	5164.0	44202.34	149.5	49547.17	2605.0	17196.83	11066.34	7138.5	4753.5	2.0	63533.01	12120.51	32789.33
KS-C2-L10	703.3	778.67	369.0	43586.46000000001	1497.84	49164.06999999999	490.5	11548.949999999995	5973.97	1938.17	605.5	17.0	58600.98999999999	3680.64	40668.45000000001
KS-C2-L5	3683.87	4470.0	2744.0	44325.4	450.5	53392.600000000006	1814.0	16493.960000000003	9104.46	4143.76	2370.5	2.0	64574.27	8413.04	37328.06
KS-C3-L1	6584.0	7697.0	4072.5	43253.23	98.0	52224.45999999999	4390.5	21355.04	10245.35	10931.06	4950.5	9.0	62264.62	13732.18	30822.550000000003
KS-C3-L10	1397.83	1099.0	585.0	44366.16000000001	660.0	49834.65000000001	1115.5	9257.66	4377.16	3220.33	1270.5	62.0	62170.17000000001	3714.5	41344.990000000005
KS-C3-L5	6578.349999999999	8003.5	4439.5	43021.88	155.0	53484.51	3025.0	20580.59	11536.95	7795.87	3795.17	3.0	61231.81999999999	13253.7	30706.28
KS-C4-L2	6840.6	9205.0	5321.5	43854.88	113.0	50251.98	3557.0	18342.17	11023.26	9702.32	6279.5	0.0	63333.029999999984	14089.429999999998	30994.050000000003
KS-C4-L5	5450.1	7391.4	4407.4	44453.600000000006	197.0	50090.9	3432.4	16714.1	9501.66	7496.740000000001	5298.9	0.0	64738.05	11247.929999999998	33764.54
KS-C5-L1	8015.769999999999	11475.0	6729.5	43981.6	111.5	48993.38000000001	2882.5	19947.71	13244.01	8305.15	4727.0	2.0	62884.4	15088.42	29440.610000000004
KS-C5-L5	3341.3	5137.1	2172.1	44575.05	439.0	52175.4	3963.6	15562.210000000005	7900.74	4176.219999999999	6147.93	3.0	66291.19	9242.64	35689.61
KS-C5-L8	2774.1	2195.83	915.0	43753.62	449.33	50864.83	2991.5	14662.38	5591.77	4254.38	2911.5	11.0	65531.75	6752.77	38546.45
