	K01623: ALDO	K01624: FBA, fbaA	K03841: FBP, fbp	K02446: glpX	K11532: glpX-SEBP	K01086: fbp-SEBP	K00615: E2.2.1.1, tktA, tktB	K01807: rpiA	K01808: rpiB
KS-C1-L1	3803.0	18580.84	9579.58	8135.42	4193.0	2.0	61985.88	11352.41	33593.77
KS-C1-L10	3543.0	16824.48	7953.620000000001	8448.970000000001	4099.17	4.0	63296.90999999999	9291.12	35697.42999999999
KS-C1-L5	1263.0	14101.419999999998	7414.25	3339.15	1490.5	4.0	63010.46	5956.67	38802.69
KS-C2-L1	2605.0	17196.83	11066.34	7138.5	4753.5	2.0	63533.01	12120.51	32789.33
KS-C2-L10	490.5	11548.949999999995	5973.97	1938.17	605.5	17.0	58600.98999999999	3680.64	40668.45000000001
KS-C2-L5	1814.0	16493.960000000003	9104.46	4143.76	2370.5	2.0	64574.27	8413.04	37328.06
KS-C3-L1	4390.5	21355.04	10245.35	10931.06	4950.5	9.0	62264.62	13732.18	30822.550000000003
KS-C3-L10	1115.5	9257.66	4377.16	3220.33	1270.5	62.0	62170.17000000001	3714.5	41344.990000000005
KS-C3-L5	3025.0	20580.59	11536.95	7795.87	3795.17	3.0	61231.81999999999	13253.7	30706.28
KS-C4-L2	3557.0	18342.17	11023.26	9702.32	6279.5	0.0	63333.029999999984	14089.429999999998	30994.050000000003
KS-C4-L5	3432.4	16714.1	9501.66	7496.740000000001	5298.9	0.0	64738.05	11247.929999999998	33764.54
KS-C5-L1	2882.5	19947.71	13244.01	8305.15	4727.0	2.0	62884.4	15088.42	29440.610000000004
KS-C5-L5	3963.6	15562.210000000005	7900.74	4176.219999999999	6147.93	3.0	66291.19	9242.64	35689.61
KS-C5-L8	2991.5	14662.38	5591.77	4254.38	2911.5	11.0	65531.75	6752.77	38546.45
MB-C1-L1	2076.0	21615.640000000003	6763.249999999999	7932.48	1901.0	0.0	60489.10000000001	8593.47	35148.12
MB-C2-L1	772.0	15123.88	3990.04	3283.3	828.5	0.0	58110.34999999999	6155.94	38020.170000000006
MB-C2-L1-B	3064.0	25451.430000000004	8112.67	9869.06	2824.0	0.0	59445.43	12185.75	31705.54
MB-C3-L1	2623.0	23455.3	7158.6	9988.8	2748.0	0.0	60240.15999999999	10669.43	33390.7
PL-C1-L1	3739.0	22827.160000000003	7293.93	9801.08	6779.5	7.0	65315.4	14317.93	31216.88
PL-C1-L4	3332.75	18856.53	6417.100000000002	8353.2	5418.0	7.0	64632.04999999999	11002.929999999998	34377.009999999995
PL-C1-L7	240.17	7775.049999999998	4771.03	1338.9299999999998	390.0	0.0	53596.100000000006	3445.2	40971.880000000005
PL-C2-L1	5793.0	22551.62	7834.17	11620.13	7532.5	14.0	65910.09	15077.0	31481.770000000004
PL-C2-L1-B	5985.75	24284.210000000003	5966.32	15303.46	7364.5	36.5	65504.000000000015	14522.13	33090.15000000001
PL-C2-L4	1125.0	23512.95	3253.03	5457.849999999999	1437.0	0.0	67133.68000000001	4693.7	39733.12
PL-C2-L8	3254.5	24252.35	6006.02	13920.62	5191.5	18.0	68206.02999999997	13367.27	35117.27
PL-C3-L1	4036.5	22515.44	7451.16	10166.09	5572.0	10.0	64392.3	13370.3	31312.08
PL-C3-L10	360.5	10050.660000000002	4812.009999999999	2140.26	422.0	0.0	58299.77000000001	4582.51	40060.28999999999
PL-C3-L5	3217.0	19121.720000000005	5723.699999999999	8465.319999999998	3960.5	0.0	66742.44000000002	7586.279999999999	37544.15
SB-C1-L1	2458.0	21571.41	7626.64	7299.45	2627.0	3.0	58178.51	8479.48	37043.99
SB-C1-L3	1532.5	16854.870000000003	7286.66	6082.96	1618.5	0.0	57724.0	5767.91	39786.66
SB-C1-L5	1015.5	13960.58	6927.200000000001	4446.28	1121.5	0.0	56702.54	4781.7	40468.58
SB-C2-L1	5080.5	23882.52	7774.73	10835.920000000002	5857.5	0.0	57356.99	13113.729999999998	32619.689999999995
SB-C2-L4	4409.1	23352.95	7762.849999999999	9976.21	5441.6	0.0	59538.98	11970.340000000002	33959.98
SB-C2-L8	817.5	13119.4	6055.639999999999	4046.6	977.0	0.0	57521.90999999999	4184.139999999999	40860.56
SB-C3-L1	2936.0	25539.66	8967.98	7920.53	3093.0	2.0	57911.61000000001	11402.73	33947.71000000001
SB-C3-L1-B	3634.0	26263.94	8685.29	10661.73	3235.0	0.0	59633.4	12148.79	33216.11
SB-C3-L10	1066.5	14222.840000000004	5443.72	4444.399999999999	1281.5	0.0	59027.01	6043.969999999999	39470.69
SB-C3-L5	1130.0	16279.510000000004	6054.870000000001	5354.7	1023.0	1.0	59318.63999999999	5320.870000000001	39973.75
