	K00029: E1.1.1.40, maeB	K01006: ppdK
KS-C1-L1	22156.58	39521.63999999999
KS-C1-L10	18936.300000000003	40333.81
KS-C1-L5	14144.249999999998	36090.06
KS-C2-L1	23617.34	36392.51
KS-C2-L10	9696.469999999998	31657.99
KS-C2-L5	18938.46	36203.99999999999
KS-C3-L1	23669.67	34276.20999999999
KS-C3-L10	8071.49	33253.33
KS-C3-L5	25090.88	35058.119999999995
KS-C4-L2	25185.25999999999	34779.45
KS-C4-L5	21741.66	38107.4
KS-C5-L1	25608.01	32049.830000000005
KS-C5-L5	22550.57	37606.11
KS-C5-L8	11760.44	35639.36
MB-C1-L1	16532.58	39572.530000000006
MB-C2-L1	8846.04	36857.310000000005
MB-C2-L1-B	21625.51	34206.99999999999
MB-C3-L1	19217.77	36628.09999999999
PL-C1-L1	19755.43	38903.64
PL-C1-L4	16420.28	40629.08000000001
PL-C1-L7	7793.759999999999	30704.000000000004
PL-C2-L1	18916.17	36016.95999999999
PL-C2-L1-B	16345.32	37083.74000000002
PL-C2-L4	7860.03	42241.75000000001
PL-C2-L8	13101.52	41057.77
PL-C3-L1	19672.66	37324.75
PL-C3-L10	7617.84	34734.8
PL-C3-L5	11257.2	42789.27999999999
SB-C1-L1	20303.48	42509.03999999999
SB-C1-L3	17158.260000000002	45645.27
SB-C1-L5	14908.7	43274.380000000005
SB-C2-L1	23340.4	40424.78999999999
SB-C2-L4	21914.85	39683.35
SB-C2-L8	12082.740000000002	40956.59999999999
SB-C3-L1	22963.98	40081.01
SB-C3-L1-B	20312.95	36064.97
SB-C3-L10	10217.89	35574.48
SB-C3-L5	12264.700000000004	40295.71
