	K01595: ppc	K01610: E4.1.1.49, pckA
KS-C1-L1	12302.63	11324.2
KS-C1-L10	10128.320000000002	11712.21
KS-C1-L5	6042.5	15161.429999999998
KS-C2-L1	13269.34	10180.829999999998
KS-C2-L10	3316.24	19593.2
KS-C2-L5	7475.160000000001	15479.920000000002
KS-C3-L1	17210.019999999997	10494.59
KS-C3-L10	3725.0	18233.5
KS-C3-L5	15685.15	11171.12
KS-C4-L2	16678.96	10403.77
KS-C4-L5	11454.929999999998	10642.1
KS-C5-L1	17653.61	10126.85
KS-C5-L5	7440.44	17215.04
KS-C5-L8	6183.47	17483.449999999997
MB-C1-L1	9984.830000000002	11451.080000000002
MB-C2-L1	2609.2700000000004	13112.76
MB-C2-L1-B	16473.25	13516.25
MB-C3-L1	14525.8	12256.600000000002
PL-C1-L1	15008.31	12510.11
PL-C1-L4	11154.529999999995	13237.409999999998
PL-C1-L7	1551.26	23070.680000000004
PL-C2-L1	15578.84	12489.96
PL-C2-L1-B	15587.78	11975.59
PL-C2-L4	4855.26	13352.92
PL-C2-L8	13233.07	9655.05
PL-C3-L1	14774.76	11610.17
PL-C3-L10	2180.21	15968.880000000005
PL-C3-L5	9143.220000000005	11150.9
SB-C1-L1	10467.41	14479.39
SB-C1-L3	6977.66	16315.35
SB-C1-L5	4447.599999999999	17214.449999999997
SB-C2-L1	15506.53	12547.899999999998
SB-C2-L4	14184.7	12821.590000000002
SB-C2-L8	3455.74	16147.690000000002
SB-C3-L1	13849.03	12753.77
SB-C3-L1-B	14199.44	12670.8
SB-C3-L10	3398.07	15808.800000000005
SB-C3-L5	4499.52	14634.9
