	K01595: ppc	K01006: ppdK
KS-C1-L1	12302.63	39521.63999999999
KS-C1-L10	10128.320000000002	40333.81
KS-C1-L5	6042.5	36090.06
KS-C2-L1	13269.34	36392.51
KS-C2-L10	3316.24	31657.99
KS-C2-L5	7475.160000000001	36203.99999999999
KS-C3-L1	17210.019999999997	34276.20999999999
KS-C3-L10	3725.0	33253.33
KS-C3-L5	15685.15	35058.119999999995
KS-C4-L2	16678.96	34779.45
KS-C4-L5	11454.929999999998	38107.4
KS-C5-L1	17653.61	32049.830000000005
KS-C5-L5	7440.44	37606.11
KS-C5-L8	6183.47	35639.36
MB-C1-L1	9984.830000000002	39572.530000000006
MB-C2-L1	2609.2700000000004	36857.310000000005
MB-C2-L1-B	16473.25	34206.99999999999
MB-C3-L1	14525.8	36628.09999999999
PL-C1-L1	15008.31	38903.64
PL-C1-L4	11154.529999999995	40629.08000000001
PL-C1-L7	1551.26	30704.000000000004
PL-C2-L1	15578.84	36016.95999999999
PL-C2-L1-B	15587.78	37083.74000000002
PL-C2-L4	4855.26	42241.75000000001
PL-C2-L8	13233.07	41057.77
PL-C3-L1	14774.76	37324.75
PL-C3-L10	2180.21	34734.8
PL-C3-L5	9143.220000000005	42789.27999999999
SB-C1-L1	10467.41	42509.03999999999
SB-C1-L3	6977.66	45645.27
SB-C1-L5	4447.599999999999	43274.380000000005
SB-C2-L1	15506.53	40424.78999999999
SB-C2-L4	14184.7	39683.35
SB-C2-L8	3455.74	40956.59999999999
SB-C3-L1	13849.03	40081.01
SB-C3-L1-B	14199.44	36064.97
SB-C3-L10	3398.07	35574.48
SB-C3-L5	4499.52	40295.71
