	K00169: porA	K00170: porB	K00171: porD	K00172: porC, porG	K03737: por, nifJ	K01007: pps, ppsA	K01006: ppdK	K01595: ppc	K01959: pycA	K01960: pycB	K01958: PC, pyc	K00024: mdh	K01676: E4.2.1.2A, fumA, fumB	K01679: E4.2.1.2B, fumC, FH	K01677: E4.2.1.2AA, fumA	K01678: E4.2.1.2AB, fumB	K00239: sdhA, frdA	K00240: sdhB, frdB	K00241: sdhC, frdC	K00242: sdhD, frdD	K00244: frdA	K00245: frdB	K00246: frdC	K00247: frdD	K01902: sucD	K01903: sucC	K00174: korA, oorA, oforA	K00175: korB, oorB, oforB	K00177: korC, oorC	K00176: korD, oorD	K00031: IDH1, IDH2, icd	K01681: ACO, acnA	K01682: acnB	K15230: aclA	K15231: aclB	K15232: ccsA
KS-C1-L1	11937.91	12801.34	5319.67	12871.91	15267.06	36710.69	39521.63999999999	12302.63	1979.0	12635.84	3703.99	41479.3	15411.56	34124.829999999994	3626.12	3628.12	42559.44999999999	41582.87999999999	37376.97	12131.23	463.99	1615.5700000000002	1608.0700000000002	237.4	42477.37999999999	42442.87999999999	51367.57	45503.9	20223.65	20861.9	37819.33	44113.28999999999	3773.57	60.0	60.0	179.0
KS-C1-L10	11760.84	12821.84	6064.84	13168.84	15368.9	35632.11	40333.81	10128.320000000002	1287.5	12798.18	3693.86	39173.47	12992.73	32404.129999999997	4723.9400000000005	4723.9400000000005	42055.89	40352.89	35780.06	9739.27	742.4499999999999	1669.94	1659.44	188.6	42080.54999999999	42048.54999999999	54616.05	48791.20999999999	21263.95	21534.95	34227.87999999999	41930.69	3281.1	64.5	64.5	213.0
KS-C1-L5	17487.75	20297.75	13708.75	20270.75	12500.91	34275.64	36090.06	6042.5	1095.25	17354.75	2513.08	34899.149999999994	8294.33	23589.75	11756.11	11756.11	38434.69	31866.44	27410.11	5881.34	1776.57	954.92	906.67	82.16999999999999	40974.92	40896.42	60508.17	55397.17	24561.79	24313.410000000003	24617.5	34856.73	4355.92	73.75	73.75	24.0
KS-C2-L1	12754.5	13966.5	6559.0	13850.5	10811.499999999998	30468.700000000004	36392.51	13269.34	2697.5	9063.0	3321.5	43304.84	13399.509999999998	33508.34	4237.0	4237.0	42435.67999999999	40586.67999999999	37501.35	13881.5	373.5	1033.0	1028.5	193.0	42393.34	42384.34	42138.5	39308.0	13711.0	14154.0	36760.84	43383.35	2626.5000000000005	77.5	77.5	113.0
KS-C2-L10	23294.17	25337.84	21239.17	25348.17	8588.8	35741.740000000005	31657.99	3316.24	1119.67	20899.67	1792.0	34360.04	4382.27	18153.97	19522.82	19522.82	38948.79000000001	28201.29	23614.79	2303.8	1540.05	2599.8	1378.3	23.8	41601.87000000001	41576.87000000001	61187.12	56432.12	22885.95	21781.7	19974.39	28107.759999999995	4438.3	1247.5	1247.5	15.0
KS-C2-L5	18138.59	19215.59	14017.92	19518.59	12851.88	34686.399999999994	36203.99999999999	7475.160000000001	2269.75	16342.59	3017.01	35697.65	15860.21	26981.679999999997	9258.97	9258.97	36802.83	32181.58	28709.029999999995	8652.67	1231.71	1396.0400000000002	1240.04	52.370000000000005	38179.98	38188.98	58083.6	53085.72000000001	25232.83	25573.83	27975.929999999997	39225.44	5474.79	276.0	276.0	72.0
KS-C3-L1	7861.459999999999	8509.32	2641.32	8465.46	11896.96	31870.830000000005	34276.20999999999	17210.019999999997	2153.0	9184.64	4151.709999999999	41299.16	14999.17	35646.84	2405.3900000000003	2405.3900000000003	44000.17	43247.53	38955.52999999999	15410.67	878.1399999999998	2037.82	1989.32	322.5	42554.34	42504.84	40252.09	36471.27	12314.78	12827.78	38862.34	43151.35	4686.67	205.5	205.5	306.0
KS-C3-L10	20752.33	26080.83	18663.83	26088.83	11519.49	32795.65000000001	33253.33	3725.0	965.0	19697.16	1658.16	36086.16	4346.82	17229.660000000003	16939.33	16942.33	38097.16000000001	26894.330000000005	23485.330000000005	2987.67	352.49	604.1600000000001	532.16	79.33	42695.83000000001	42686.33000000001	59064.32	55052.99	19031.82	18887.82	19152.660000000003	27845.320000000007	4871.83	113.5	113.5	29.0
KS-C3-L5	10411.16	11060.09	4413.09	10992.16	13509.26	35001.74	35058.119999999995	15685.15	2050.75	11648.43	3705.41	40919.9	16678.309999999998	34857.45999999999	3077.42	3077.42	42615.03999999999	41532.47	38000.82000000001	14396.77	1080.0300000000002	1878.4400000000005	1781.1900000000005	364.35	41743.73	41727.73	45779.73	40800.89	17411.3	17964.8	38473.70999999999	42389.01	5565.099999999999	320.75	320.75	132.0
KS-C4-L2	9204.29	10431.0	3457.0	10430.29	9919.05	30200.74	34779.45	16678.96	2747.0	7025.5	2982.29	42934.26	13202.69	34701.259999999995	3216.12	3216.12	43907.70999999999	43081.41999999999	39573.919999999984	16844.93	556.5999999999999	1603.1	1598.6	201.6	42878.76	42828.76	35458.95	33004.95	9250.62	9739.62	38862.09	43893.34999999999	3254.1	221.0	221.0	160.0
