	K00169: porA	K00170: porB	K00171: porD	K00172: porC, porG	K01007: pps, ppsA	K01595: ppc	K00024: mdh	K01677: E4.2.1.2AA, fumA	K01678: E4.2.1.2AB, fumB	K00239: sdhA, frdA	K00240: sdhB, frdB	K00241: sdhC, frdC	K01902: sucD	K01903: sucC	K14534: abfD	K15016: K15016	K00626: ACAT, atoB
KS-C1-L1	11937.91	12801.34	5319.67	12871.91	36710.69	12302.63	41479.3	3626.12	3628.12	42559.44999999999	41582.87999999999	37376.97	42477.37999999999	42442.87999999999	6941.0	4234.0	119951.09
KS-C1-L10	11760.84	12821.84	6064.84	13168.84	35632.11	10128.320000000002	39173.47	4723.9400000000005	4723.9400000000005	42055.89	40352.89	35780.06	42080.54999999999	42048.54999999999	6525.0	3815.0	123057.28
KS-C1-L5	17487.75	20297.75	13708.75	20270.75	34275.64	6042.5	34899.149999999994	11756.11	11756.11	38434.69	31866.44	27410.11	40974.92	40896.42	8658.76	2016.0	109649.88
KS-C2-L1	12754.5	13966.5	6559.0	13850.5	30468.700000000004	13269.34	43304.84	4237.0	4237.0	42435.67999999999	40586.67999999999	37501.35	42393.34	42384.34	4969.0	1828.0	99823.86999999998
KS-C2-L10	23294.17	25337.84	21239.17	25348.17	35741.740000000005	3316.24	34360.04	19522.82	19522.82	38948.79000000001	28201.29	23614.79	41601.87000000001	41576.87000000001	7282.0	582.0	107917.2
KS-C2-L5	18138.59	19215.59	14017.92	19518.59	34686.399999999994	7475.160000000001	35697.65	9258.97	9258.97	36802.83	32181.58	28709.029999999995	38179.98	38188.98	9449.5	2015.0	109558.82999999996
KS-C3-L1	7861.459999999999	8509.32	2641.32	8465.46	31870.830000000005	17210.019999999997	41299.16	2405.3900000000003	2405.3900000000003	44000.17	43247.53	38955.52999999999	42554.34	42504.84	3171.0	2601.0	119137.82
KS-C3-L10	20752.33	26080.83	18663.83	26088.83	32795.65000000001	3725.0	36086.16	16939.33	16942.33	38097.16000000001	26894.330000000005	23485.330000000005	42695.83000000001	42686.33000000001	6347.0	675.0	107534.15000000002
KS-C3-L5	10411.16	11060.09	4413.09	10992.16	35001.74	15685.15	40919.9	3077.42	3077.42	42615.03999999999	41532.47	38000.82000000001	41743.73	41727.73	5257.0	3201.75	110852.71999999996
KS-C4-L2	9204.29	10431.0	3457.0	10430.29	30200.74	16678.96	42934.26	3216.12	3216.12	43907.70999999999	43081.41999999999	39573.919999999984	42878.76	42828.76	2689.0	1489.0	108457.32999999994
KS-C4-L5	13358.0	14292.0	7822.0	14298.0	30648.92	11454.929999999998	42673.600000000006	3819.5	3819.5	40770.26	39179.76	35207.92999999999	40446.1	40399.6	4515.0	2341.0	103195.66
KS-C5-L1	7881.11	9201.25	2814.25	9125.11	28878.45	17653.61	43134.09	3059.11	3059.11	43746.51	42643.4	39511.16	43389.59	43372.59	2257.0	931.0	96497.14999999998
KS-C5-L5	15477.17	16163.17	11431.67	16587.17	29858.000000000004	7440.44	39397.22	7659.0	7659.0	37448.22	33338.22	30131.72	38325.880000000005	38323.880000000005	5826.0	983.0	103819.8
KS-C5-L8	16595.0	21155.0	14047.0	21276.0	28493.95	6183.47	34800.21	13822.91	13822.91	36786.87	30286.54	24554.710000000003	39959.20999999999	39957.70999999999	5631.0	384.0	101351.58000000002
MB-C1-L1	10775.73	12067.08	4976.58	12481.73	33459.14000000001	9984.830000000002	38743.240000000005	4195.959999999999	4195.959999999999	39919.1	39123.7	35108.20000000001	40626.77	40611.77	5071.74	3440.0	103767.07
MB-C2-L1	20756.71	23377.0	16481.0	23757.71	32497.4	2609.2700000000004	35529.93000000001	15830.31	15830.31	32789.060000000005	26727.35000000001	22358.35000000001	38952.18000000001	38949.18000000001	9980.0	2425.0	100514.45
MB-C2-L1-B	5672.469999999999	6700.76	2312.26	6957.469999999999	30389.64	16473.25	39391.35	2210.92	2210.92	41369.3	40957.34	37606.5	41009.09	40998.59	2248.67	1737.0	108329.16
MB-C3-L1	7222.6	8649.67	3035.17	8800.6	30170.1	14525.8	39856.77	2328.6	2328.6	41326.93999999999	40888.50999999999	37340.51	41078.09999999999	41059.09999999999	2839.0	2208.0	105382.03999999998
PL-C1-L1	7364.79	7807.5	2386.5	7903.79	28129.34	15008.31	38856.91	1909.05	1909.05	43454.11000000001	42811.82	38737.57	42740.24	42732.74	3374.0	3464.0	117689.42
PL-C1-L4	12753.94	13698.33	7272.33	13819.94	32608.6	11154.529999999995	38392.32000000001	6176.339999999998	6181.339999999998	41055.35000000001	38495.91	34514.90999999999	42109.39000000001	42092.89000000001	6545.5	3704.25	119860.12000000004
PL-C1-L7	29285.5	31682.5	26639.5	31977.5	43291.56	1551.26	39611.00000000001	23764.730000000003	23764.730000000003	36941.79000000001	22688.45	19901.28	42897.96	42890.96	10424.24	1263.0	114579.53
PL-C2-L1	5926.0	6643.0	1106.0	6389.0	20002.86	15578.84	40823.29000000001	2586.3	2586.3	44163.960000000014	43963.460000000014	40025.79000000001	43113.12	43097.62	846.0	1272.0	102145.73
PL-C2-L1-B	4416.0	4894.0	834.0	4787.67	18036.23	15587.78	40129.77000000002	2342.35	2342.35	44245.34000000001	44649.84000000001	38636.83	42885.69000000002	42845.69000000002	531.0	1597.0	111442.42000000004
PL-C2-L4	11744.12	12457.12	7876.12	12713.12	32512.17	4855.26	36987.53	9401.55	9401.55	37671.94	35801.94	29171.91	39492.28	39486.28	6964.88	2242.0	108793.0
