	K15019: K15019	K05606: MCEE, epi	K01848: E5.4.99.2A, mcmA1	K01849: E5.4.99.2B, mcmA2	K14466: K14466	K14534: abfD	K15016: K15016	K00626: ACAT, atoB
KS-C1-L1	49.0	31627.73	20301.8	16775.55	998.67	6941.0	4234.0	119951.09
KS-C1-L10	0.0	33392.369999999995	23688.25	20319.25	885.34	6525.0	3815.0	123057.28
KS-C1-L5	23.0	33372.61	28004.12	26912.29	722.0	8658.76	2016.0	109649.88
KS-C2-L1	10.0	28728.84	19127.5	15652.0	459.0	4969.0	1828.0	99823.86999999998
KS-C2-L10	0.0	33308.07	32793.15	31758.15	57.0	7282.0	582.0	107917.2
KS-C2-L5	7.0	30356.41	24354.4	22912.65	926.67	9449.5	2015.0	109558.82999999996
KS-C3-L1	56.0	29370.239999999994	18231.59	14644.92	741.32	3171.0	2601.0	119137.82
KS-C3-L10	21.0	34940.16	32975.670000000006	31508.17000000001	183.33	6347.0	675.0	107534.15000000002
KS-C3-L5	100.0	28855.55	16863.6	13881.6	783.3399999999999	5257.0	3201.75	110852.71999999996
KS-C4-L2	93.0	28456.48999999999	18355.5	14728.0	386.0	2689.0	1489.0	108457.32999999994
KS-C4-L5	0.0	28360.07	19434.67	15965.17	433.0	4515.0	2341.0	103195.66
KS-C5-L1	25.0	26225.82	16597.75	13558.5	199.0	2257.0	931.0	96497.14999999998
KS-C5-L5	11.0	29102.520000000004	20128.5	18575.5	809.6700000000001	5826.0	983.0	103819.8
KS-C5-L8	3.0	30146.76	27111.75	25872.75	76.67	5631.0	384.0	101351.58000000002
MB-C1-L1	184.0	26302.040000000005	17650.620000000003	14840.62	1302.33	5071.74	3440.0	103767.07
MB-C2-L1	13.0	29534.390000000007	23537.810000000005	22449.810000000005	406.0	9980.0	2425.0	100514.45
MB-C2-L1-B	1035.0	26449.93	14076.75	11761.75	1441.34	2248.67	1737.0	108329.16
MB-C3-L1	439.0	25607.419999999995	15338.75	12728.75	1295.67	2839.0	2208.0	105382.03999999998
PL-C1-L1	36.0	30660.06	19503.31	15731.23	813.0	3374.0	3464.0	117689.42
PL-C1-L4	3.0	33596.79	23499.29	20358.960000000003	839.33	6545.5	3704.25	119860.12000000004
PL-C1-L7	0.0	37964.32	36895.23	36175.23	185.0	10424.24	1263.0	114579.53
PL-C2-L1	0.0	26810.47	19052.3	14373.47	121.0	846.0	1272.0	102145.73
PL-C2-L1-B	13.0	28774.52000000001	22217.130000000005	16868.46	150.0	531.0	1597.0	111442.42000000004
PL-C2-L4	0.0	29321.91	24182.61	22859.08	644.0	6964.88	2242.0	108793.0
PL-C2-L8	18.0	31632.119999999995	26166.28	20246.95	276.0	2311.5	2933.0	112871.96
PL-C3-L1	176.0	29900.75	19939.75	16512.25	816.0	3288.0	2680.0	116344.9
PL-C3-L10	0.0	35341.42999999999	31278.76	30444.26	350.33	9348.0	1524.0	108537.37
PL-C3-L5	0.0	33557.84	25469.76	23278.34	896.0	9934.5	2372.0	115545.23999999996
SB-C1-L1	56.0	33428.44	21651.67	19659.17	2107.34	10996.0	4859.0	127483.88
SB-C1-L3	34.0	37613.66	27340.0	25549.0	1927.0	14415.8	5350.0	139308.5
SB-C1-L5	38.0	39116.75	30156.0	28650.0	1469.0	16271.0	5069.0	137024.21000000002
SB-C2-L1	108.0	31865.67	17786.0	15618.0	1925.67	6247.0	4694.0	136816.14
SB-C2-L4	61.0	31740.1	20153.5	17520.5	1601.0	7381.0	3734.0	129797.75
SB-C2-L8	21.0	37647.11999999999	30475.45	28666.95	988.0	14963.0	3731.0	125795.70999999998
SB-C3-L1	176.0	30028.78	18566.9	16644.9	1640.0	10054.0	4582.0	124516.79
SB-C3-L1-B	184.0	28241.58	19019.35	16926.35	1389.66	5153.4	2556.0	117180.41
SB-C3-L10	3.0	33801.86	28238.1	27002.1	443.67	10420.0	1443.0	106490.52999999998
SB-C3-L5	40.0	33935.81999999999	26706.82	25000.07	1047.33	11328.0	2796.0	114388.19
