	K02160: accB, bccP	K01961: accC	K01962: accA	K01963: accD	K14468: mcr	K14469: K14469	K15052: K15052	K05606: MCEE, epi	K01847: MUT	K01848: E5.4.99.2A, mcmA1	K01849: E5.4.99.2B, mcmA2	K14472: smtB	K00239: sdhA, frdA	K00240: sdhB, frdB	K00241: sdhC, frdC	K01679: E4.2.1.2B, fumC, FH	K08691: mcl	K14449: mch, mcd	K14470: mct	K09709: meh
KS-C1-L1	33008.81	39389.3	25205.45	31749.529999999995	76.0	76.0	121.0	31627.73	16710.739999999998	20301.8	16775.55	0.0	42559.44999999999	41582.87999999999	37376.97	34124.829999999994	4438.67	3460.0	288.0	1362.83
KS-C1-L10	31207.5	37896.94	22501.73	28925.899999999998	56.0	56.0	154.0	33392.369999999995	16926.63	23688.25	20319.25	0.0	42055.89	40352.89	35780.06	32404.129999999997	4377.01	3271.17	335.0	1314.67
KS-C1-L5	25704.7	31358.839999999997	17611.769999999997	21574.270000000004	43.0	43.0	10.0	33372.61	7335.329999999999	28004.12	26912.29	2.0	38434.69	31866.44	27410.11	23589.75	1508.0	1138.5	105.0	390.5
KS-C2-L1	38339.850000000006	45069.36000000001	29590.84	36356.34	46.0	46.0	112.0	28728.84	11111.839999999998	19127.5	15652.0	0.0	42435.67999999999	40586.67999999999	37501.35	33508.34	3867.5	3451.0	31.0	1534.0
KS-C2-L10	20796.39	24287.71	12873.37	16421.37	8.0	8.0	11.0	33308.07	3813.97	32793.15	31758.15	0.0	38948.79000000001	28201.29	23614.79	18153.97	560.5	470.5	38.0	168.0
KS-C2-L5	30305.55	34688.02	21398.18	25982.9	9.0	9.0	60.0	30356.41	8429.54	24354.4	22912.65	0.0	36802.83	32181.58	28709.029999999995	26981.679999999997	2408.67	1756.25	121.0	469.0
KS-C3-L1	33273.06	39938.1	26533.74	33546.41	134.0	134.0	160.0	29370.239999999994	19193.5	18231.59	14644.92	0.0	44000.17	43247.53	38955.52999999999	35646.84	5584.82	4051.0	916.0	1697.0
KS-C3-L10	22702.67	27441.660000000003	14993.5	18263.500000000004	37.0	37.0	28.0	34940.16	4944.99	32975.670000000006	31508.17000000001	0.0	38097.16000000001	26894.330000000005	23485.330000000005	17229.660000000003	1263.33	1103.5	80.0	400.0
KS-C3-L5	33632.61	40307.16	26733.54	32684.04	204.0	205.0	79.0	28855.55	16223.21	16863.6	13881.6	0.0	42615.03999999999	41532.47	38000.82000000001	34857.45999999999	3681.51	3007.67	442.0	1555.67
KS-C4-L2	38161.0	44964.87000000001	30595.719999999998	36910.55	93.0	93.0	219.0	28456.48999999999	14786.92	18355.5	14728.0	0.0	43907.70999999999	43081.41999999999	39573.919999999984	34701.259999999995	5343.0	4359.0	376.0	2262.83
KS-C4-L5	37247.100000000006	42368.26	28634.43	35050.1	28.0	28.0	246.0	28360.07	12501.77	19434.67	15965.17	0.0	40770.26	39179.76	35207.92999999999	31707.1	4211.9	3668.4	108.0	1611.07
KS-C5-L1	39738.78	46795.49	32859.350000000006	38388.77000000001	70.0	70.0	211.0	26225.82	11374.42	16597.75	13558.5	0.0	43746.51	42643.4	39511.16	35339.09000000001	3849.0	3333.75	157.0	1683.5
KS-C5-L5	33441.72	37221.89	24803.88	30546.88	39.0	39.0	378.0	29102.520000000004	14518.64	20128.5	18575.5	0.0	37448.22	33338.22	30131.72	28000.050000000003	4670.1	3818.93	55.0	1049.93
KS-C5-L8	27168.23	31594.73	19608.79	22922.79	3.0	3.0	40.0	30146.76	9108.44	27111.75	25872.75	0.0	36786.87	30286.54	24554.710000000003	18686.94	2438.17	2339.5	110.0	268.0
MB-C1-L1	31582.89	37607.20999999999	24476.62000000001	30190.12000000001	46.0	46.0	365.0	26302.040000000005	11787.830000000004	17650.620000000003	14840.62	0.0	39919.1	39123.7	35108.20000000001	31030.910000000007	2403.83	1484.5	16.5	517.0
MB-C2-L1	24328.13	27825.41	15796.339999999998	19763.339999999997	0.0	0.0	9.0	29534.390000000007	5027.54	23537.810000000005	22449.810000000005	0.0	32789.060000000005	26727.35000000001	22358.35000000001	17600.359999999997	879.0	676.0	5.0	146.0
MB-C2-L1-B	32564.69	38651.81999999999	26990.56	33513.56	320.0	320.0	457.0	26449.93	16528.47	14076.75	11761.75	2.0	41369.3	40957.34	37606.5	32474.34	3919.34	2313.17	75.0	1060.17
MB-C3-L1	32723.54	39204.44	26905.029999999995	33312.03	172.0	172.0	452.0	25607.419999999995	13694.600000000002	15338.75	12728.75	0.0	41326.93999999999	40888.50999999999	37340.51	32971.59999999999	3557.17	2107.25	43.5	927.5
PL-C1-L1	31931.55	38019.24	24977.58	30600.660000000003	72.0	72.0	319.0	30660.06	20438.43	19503.31	15731.23	3.0	43454.11000000001	42811.82	38737.57	37039.01	6940.5	5702.0	268.0	1342.5
PL-C1-L4	29007.72999999999	33834.75	20348.59	25721.08999999999	36.0	36.0	248.0	33596.79	18081.35	23499.29	20358.960000000003	0.0	41055.35000000001	38495.91	34514.90999999999	31284.91999999999	5968.33	4695.0	211.0	962.0
