	K00198: cooS, acsA	K05299: fdhA	K15022: fdhB	K01938: fhs	K01491: folD	K00297: metF, MTHFR	K15023: acsE	K14138: acsB	K00197: cdhE, acsC	K00194: cdhD, acsD
KS-C1-L1	14438.28	19120.97	159.0	18573.13	44291.19999999999	45588.37	12972.39	8678.92	8992.220000000001	8877.92
KS-C1-L10	15065.69	20276.09	162.5	21921.969999999998	43895.73999999999	43737.17	12941.93	9067.84	9297.09	9187.84
KS-C1-L5	20328.46	22843.410000000003	167.75	28791.11	44469.48	40973.73	16856.03	14671.38	14991.53	14812.38
KS-C2-L1	9678.0	15683.0	170.5	16709.010000000002	44459.34	39102.83	8810.5	6858.0	7080.5	6937.0
KS-C2-L10	22918.39	21501.15	1259.5	29751.32	43520.79000000001	37126.70000000001	18384.4	17769.25	18997.74	18839.09
KS-C2-L5	19977.62	25665.72	298.0	26972.48	45922.15	39539.95999999999	17096.89	14622.42	15219.72	14933.42
KS-C3-L1	8037.709999999999	12278.32	416.5	15443.22	43408.4	41706.57	7049.889999999999	4606.57	4783.57	4631.57
KS-C3-L10	22488.99	19869.33	153.5	32749.990000000005	44197.16000000001	39516.64	18601.66	17833.83	18469.33	18351.33
KS-C3-L5	11405.72	15600.94	584.25	15593.28	43532.55	43633.9	10100.03	6867.09	7030.1900000000005	6930.09
KS-C4-L2	6416.5	11426.0	287.0	15426.61	44307.38	39592.72	5479.5	3974.5	4159.0	3984.5
KS-C4-L5	12193.5	19662.0	76.0	19987.4	44773.600000000006	39067.17	11177.0	8739.0	8938.0	8839.0
KS-C5-L1	4587.17	8627.5	259.5	12006.5	44386.35	39107.380000000005	3913.75	2849.75	2982.25	2869.75
KS-C5-L5	16092.51	22119.17	82.0	27254.85	45014.880000000005	39625.08	13666.84	12012.17	12265.17	12216.17
KS-C5-L8	17845.17	16485.17	33.0	29078.92	43990.62	41144.45	13546.84	13189.67	13454.83	13289.0
MB-C1-L1	14123.71	19676.870000000003	410.75	19620.79	42363.94999999999	43550.669999999984	11820.83	8150.2	8939.5	8461.2
MB-C2-L1	20112.81	21745.15	42.5	29146.31	40192.170000000006	37608.23	16875.65	14325.5	17600.15	17338.0
MB-C2-L1-B	8212.48	13182.84	559.75	17076.82	42574.65999999999	42256.24999999999	6604.18	4657.34	5037.68	4701.68
MB-C3-L1	9512.1	14955.17	409.75	16890.1	42819.19999999999	42236.22	8002.09	5582.42	6021.92	5638.92
PL-C1-L1	9428.24	16397.9	205.0	21607.98	42888.41	41785.310000000005	8418.15	5177.75	5343.15	5250.75
PL-C1-L4	15898.2	20171.380000000005	157.0	25691.839999999997	42736.68000000001	43961.25000000001	13737.46	10025.58	10618.13	10478.08
PL-C1-L7	31777.66	23008.640000000003	17.5	34368.46	42132.54000000001	45404.75	26366.27	25059.87	27004.27	26905.87
PL-C2-L1	2371.1	6831.8	113.0	16742.97	43325.79000000001	37710.61000000001	1946.8	1280.5	1348.8	1293.5
PL-C2-L1-B	1832.05	6298.55	128.5	18517.76	43386.59000000002	36809.780000000006	1370.8	921.25	1025.8	957.75
PL-C2-L4	15561.21	21899.8	19.0	25781.0	42311.95	39191.5	11896.05	9270.75	12755.05	10239.75
PL-C2-L8	6740.4	13962.2	161.0	21977.19	43390.95	37392.76	5869.95	4048.25	4366.45	4222.25
PL-C3-L1	8795.0	15606.5	262.0	20875.579999999994	42837.58	40053.6	7514.75	4984.25	5192.75	5057.25
PL-C3-L10	21979.84	22715.13	13.5	31078.8	41362.29999999998	38576.98999999998	18275.210000000003	16681.08	19301.38	19201.58
PL-C3-L5	14868.010000000002	22909.75	76.0	27848.25	42635.9	38899.87	12232.5	9571.75	10792.0	10619.25
SB-C1-L1	21752.52	25761.09	172.0	23976.36	43641.99999999999	52097.68999999999	18690.18	13116.59	13456.84	13380.59
SB-C1-L3	29052.35	31162.25	212.0	28012.52	43601.02	54957.06	24043.8	17786.55	18500.8	18304.55
SB-C1-L5	31019.26	31654.25	105.0	30729.38	42987.58	53025.95	25847.0	20235.25	21506.5	21395.25
SB-C2-L1	15768.75	20111.17	176.5	22670.620000000003	43805.02	51446.420000000006	14012.34	8690.67	8814.17	8765.67
SB-C2-L4	14585.4	18636.0	131.75	22745.01	43654.49999999999	47996.65	12879.5	8640.5	8922.5	8846.5
SB-C2-L8	26424.660000000003	26376.7	52.5	29248.099999999995	42634.06999999999	48261.42999999999	22208.7	18143.0	19853.2	19632.5
SB-C3-L1	17433.3	20937.9	130.5	20783.84	43890.20999999999	50525.24	15404.9	10438.0	10708.9	10572.0
SB-C3-L1-B	12465.48	16237.01	311.25	20988.98	43483.030000000006	44388.56	10020.57	7113.81	7469.91	7375.809999999999
SB-C3-L10	19508.56	20274.02	36.0	29572.310000000005	41092.85999999999	38323.32	15857.19	14277.17	17241.52	17083.17
SB-C3-L5	20885.9	23572.28	156.0	26855.299999999992	42000.99999999999	43251.43999999999	17055.36	13897.08	15934.03	15740.08
