	K00625: E2.3.1.8, pta	K13788: pta	K15024: K15024	K00925: ackA
KS-C1-L1	3456.6600000000003	2165.65	255.97	23398.44
KS-C1-L10	3599.69	1927.1	238.75	21738.54
KS-C1-L5	2664.32	1537.75	448.91	17949.82
KS-C2-L1	1950.5	700.0	11.0	23332.5
KS-C2-L10	2258.17	2284.8	275.15	13765.619999999995
KS-C2-L5	3790.76	2758.92	253.22	18997.65
KS-C3-L1	3469.1400000000003	3353.84	47.75	24026.73
KS-C3-L10	2040.33	824.3300000000002	295.0	15682.5
KS-C3-L5	3673.07	2824.3500000000004	44.85	24388.520000000004
KS-C4-L2	2181.12	1464.1	25.83	22740.22
KS-C4-L5	2450.5	1331.53	44.0	21568.87
KS-C5-L1	1880.18	1104.02	27.42	25668.27
KS-C5-L5	3932.91	1592.7	202.0	19182.11
KS-C5-L8	3709.66	1040.1	346.25	19754.680000000004
MB-C1-L1	2999.67	2164.75	152.17000000000002	24439.92
MB-C2-L1	3870.82	174.86999999999998	633.15	18119.67
MB-C2-L1-B	3452.57	3883.83	193.09	25644.05
MB-C3-L1	2771.1000000000004	2888.02	134.25	25072.45
PL-C1-L1	5561.0	1476.68	108.65	23850.430000000004
PL-C1-L4	5085.29	1180.1799999999998	296.79999999999995	20763.25
PL-C1-L7	2844.91	102.2	145.27	11480.55
PL-C2-L1	3299.33	822.3299999999999	146.8	25236.62
PL-C2-L1-B	3373.15	1316.85	290.8	23861.88000000001
PL-C2-L4	4966.42	273.03	371.3	21586.219999999998
PL-C2-L8	4802.82	967.43	285.03	22946.63
PL-C3-L1	4507.83	1664.33	255.75	23839.85
PL-C3-L10	3173.53	225.5	349.42999999999995	14176.160000000002
PL-C3-L5	3992.33	2466.119999999999	596.17	19827.15
SB-C1-L1	4332.18	2127.3	64.0	23103.32
SB-C1-L3	4177.06	1335.5	80.3	19209.86
SB-C1-L5	3605.38	711.1999999999999	105.5	16450.08
SB-C2-L1	4738.12	2541.9000000000005	50.5	23269.52
SB-C2-L4	4505.91	1958.15	71.0	23321.9
SB-C2-L8	3099.15	545.97	74.95	16839.57
SB-C3-L1	4377.75	2295.4	26.4	25851.63
SB-C3-L1-B	4540.16	2168.8	138.25	25012.43
SB-C3-L10	3915.12	816.8000000000002	244.27	18333.27
SB-C3-L5	4240.81	884.4500000000002	150.65	19540.750000000004
