	K00169: porA	K00170: porB	K00171: porD	K00172: porC, porG	K01959: pycA	K01960: pycB	K00024: mdh	K01677: E4.2.1.2AA, fumA	K01678: E4.2.1.2AB, fumB	K18209: tfrA	K18210: tfrB	K01902: sucD	K01903: sucC	K00174: korA, oorA, oforA	K00175: korB, oorB, oforB	K00176: korD, oorD	K00177: korC, oorC
KS-C1-L1	11937.91	12801.34	5319.67	12871.91	1979.0	12635.84	41479.3	3626.12	3628.12	0.0	0.0	42477.37999999999	42442.87999999999	51367.57	45503.9	20861.9	20223.65
KS-C1-L10	11760.84	12821.84	6064.84	13168.84	1287.5	12798.18	39173.47	4723.9400000000005	4723.9400000000005	0.0	0.0	42080.54999999999	42048.54999999999	54616.05	48791.20999999999	21534.95	21263.95
KS-C1-L5	17487.75	20297.75	13708.75	20270.75	1095.25	17354.75	34899.149999999994	11756.11	11756.11	0.0	0.0	40974.92	40896.42	60508.17	55397.17	24313.410000000003	24561.79
KS-C2-L1	12754.5	13966.5	6559.0	13850.5	2697.5	9063.0	43304.84	4237.0	4237.0	0.0	0.0	42393.34	42384.34	42138.5	39308.0	14154.0	13711.0
KS-C2-L10	23294.17	25337.84	21239.17	25348.17	1119.67	20899.67	34360.04	19522.82	19522.82	0.0	0.0	41601.87000000001	41576.87000000001	61187.12	56432.12	21781.7	22885.95
KS-C2-L5	18138.59	19215.59	14017.92	19518.59	2269.75	16342.59	35697.65	9258.97	9258.97	0.0	0.0	38179.98	38188.98	58083.6	53085.72000000001	25573.83	25232.83
KS-C3-L1	7861.459999999999	8509.32	2641.32	8465.46	2153.0	9184.64	41299.16	2405.3900000000003	2405.3900000000003	0.0	0.0	42554.34	42504.84	40252.09	36471.27	12827.78	12314.78
KS-C3-L10	20752.33	26080.83	18663.83	26088.83	965.0	19697.16	36086.16	16939.33	16942.33	0.0	0.0	42695.83000000001	42686.33000000001	59064.32	55052.99	18887.82	19031.82
KS-C3-L5	10411.16	11060.09	4413.09	10992.16	2050.75	11648.43	40919.9	3077.42	3077.42	0.0	0.0	41743.73	41727.73	45779.73	40800.89	17964.8	17411.3
KS-C4-L2	9204.29	10431.0	3457.0	10430.29	2747.0	7025.5	42934.26	3216.12	3216.12	0.0	0.0	42878.76	42828.76	35458.95	33004.95	9739.62	9250.62
