	K10944: pmoA-amoA	K10945: pmoB-amoB	K10946: pmoC-amoC	K16157: mmoX	K16158: mmoY	K16159: mmoZ	K16160: mmoB	K16161: mmoC	K16162: mmoD	K14028: mdh1, mxaF	K14029: mdh2, mxaI
KS-C1-L1	234.5	234.5	552.5	0.0	0.0	0.0	0.0	0.0	0.0	1146.5	1146.5
KS-C1-L10	148.5	148.5	340.5	0.0	0.0	0.0	0.0	0.0	0.0	1225.0	1225.0
KS-C1-L5	49.5	49.5	137.5	0.0	0.0	0.0	0.0	0.0	0.0	494.5	494.5
KS-C2-L1	131.0	131.0	246.0	0.0	0.0	0.0	0.0	0.0	0.0	395.5	395.5
KS-C2-L10	21.0	21.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	297.5	297.5
KS-C2-L5	20.0	20.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	708.0	708.0
KS-C3-L1	304.5	304.5	721.0	0.0	0.0	0.0	0.0	0.0	0.0	1460.5	1460.5
KS-C3-L10	23.0	23.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	637.5	637.5
KS-C3-L5	150.5	150.5	407.5	0.0	0.0	0.0	0.0	0.0	0.0	859.5	859.5
KS-C4-L2	221.0	221.0	381.0	0.0	0.0	0.0	0.0	0.0	0.0	911.5	911.5
KS-C4-L5	71.5	71.5	211.5	0.0	0.0	0.0	0.0	0.0	0.0	798.5	798.5
KS-C5-L1	127.5	127.5	190.5	4.0	4.0	4.0	4.0	4.0	4.0	600.5	600.5
KS-C5-L5	20.5	20.5	30.0	0.0	0.0	0.0	0.0	0.0	0.0	689.0	689.0
KS-C5-L8	28.0	28.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	1698.0	1698.0
MB-C1-L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	650.0	650.0
MB-C2-L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	397.0	397.0
MB-C2-L1-B	22.0	22.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	805.0	805.0
MB-C3-L1	25.0	25.0	65.5	0.0	0.0	0.0	0.0	0.0	0.0	845.5	845.5
PL-C1-L1	282.0	283.0	676.0	0.0	0.0	0.0	0.0	0.0	0.0	1784.0	1784.0
PL-C1-L4	195.0	195.0	475.0	10.0	10.0	10.0	10.0	10.0	0.0	2011.5	2011.5
PL-C1-L7	9.34	9.34	25.34	0.0	0.0	0.0	0.0	0.0	0.0	112.67	112.67
PL-C2-L1	235.0	235.0	465.0	15.0	15.0	15.0	15.0	15.0	0.0	2194.5	2194.5
PL-C2-L1-B	348.0	348.0	702.0	25.0	25.0	25.0	25.0	25.0	0.0	2236.0	2236.0
PL-C2-L4	14.0	14.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	892.0	892.0
PL-C2-L8	217.0	217.0	429.0	16.0	16.0	16.0	16.0	16.0	0.0	2008.5	2008.5
PL-C3-L1	257.0	257.0	676.5	0.0	0.0	0.0	0.0	0.0	0.0	1955.5	1955.5
PL-C3-L10	6.0	6.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	227.0	227.0
PL-C3-L5	26.0	26.0	58.5	0.0	0.0	0.0	0.0	0.0	0.0	2598.0	2598.0
SB-C1-L1	41.0	41.0	61.5	0.0	0.0	0.0	0.0	0.0	0.0	618.5	618.5
SB-C1-L3	49.0	49.0	73.5	0.0	0.0	0.0	0.0	0.0	0.0	456.5	456.5
SB-C1-L5	30.0	30.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	382.0	382.0
SB-C2-L1	221.0	221.0	331.5	0.0	0.0	0.0	0.0	0.0	0.0	1544.5	1544.5
SB-C2-L4	136.0	136.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	1450.0	1450.0
SB-C2-L8	30.0	30.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	365.0	365.0
SB-C3-L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	658.0	658.0
SB-C3-L1-B	60.5	60.5	89.5	0.0	0.0	0.0	0.0	0.0	0.0	871.5	871.5
SB-C3-L10	11.0	11.0	16.5	0.0	0.0	0.0	0.0	0.0	0.0	472.5	472.5
SB-C3-L5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	458.0	458.0
