	K08093: hxlA	K13812: fae-hps	K08094: hxlB	K13831: hps-phi	K00850: pfkA, PFK	K16370: pfkB	K01624: FBA, fbaA
KS-C1-L1	34.5	199.0	355.5	12.0	52044.92999999999	512.65	18580.84
KS-C1-L10	65.5	120.0	418.5	5.0	52083.30999999998	536.9300000000001	16824.48
KS-C1-L5	67.5	141.0	268.5	28.0	51547.27	236.0	14101.419999999998
KS-C2-L1	12.0	79.0	245.0	6.0	48771.18	529.83	17196.83
KS-C2-L10	7.0	1067.67	1239.67	89.67	49080.94	118.8	11548.949999999995
KS-C2-L5	22.0	311.0	432.0	35.0	51667.42999999999	461.2	16493.960000000003
KS-C3-L1	27.5	25.0	310.0	13.0	47884.890000000014	1750.67	21355.04
KS-C3-L10	20.0	511.0	620.33	12.0	50024.66	222.33	9257.66
KS-C3-L5	24.5	63.0	227.0	35.0	50033.31999999999	1098.1	20580.59
KS-C4-L2	42.0	10.0	412.0	0.0	47086.70999999999	996.6	18342.17
KS-C4-L5	19.5	100.0	322.5	6.0	49054.85999999999	557.0999999999999	16714.1
KS-C5-L1	48.5	20.0	150.5	17.0	46637.45999999999	782.1	19947.71
KS-C5-L5	1.5	216.0	290.5	50.0	49894.96	540.3	15562.210000000005
KS-C5-L8	73.0	97.33	252.33	14.33	49725.630000000005	194.6	14662.38
MB-C1-L1	0.0	311.0	578.0	250.0	55501.19	703.0000000000001	21615.640000000003
MB-C2-L1	55.16	3012.5	3978.33	482.5	51724.84	136.87	15123.88
MB-C2-L1-B	34.0	43.67	269.17	325.67	51665.71	1124.63	25451.430000000004
MB-C3-L1	13.0	56.5	289.0	241.5	52959.52999999998	887.2700000000001	23455.3
PL-C1-L1	49.0	73.0	555.0	232.0	48977.640000000014	716.6	22827.160000000003
PL-C1-L4	90.0	451.0	1023.0	125.0	51511.05000000001	462.1000000000001	18856.53
PL-C1-L7	56.84	1846.0	2368.84	228.67	52785.060000000005	102.20000000000002	7775.049999999998
PL-C2-L1	20.33	13.0	678.3299999999999	481.0	46861.1	670.5	22551.62
PL-C2-L1-B	151.5	27.0	991.5	253.0	46263.24000000002	650.6	24284.210000000003
PL-C2-L4	27.0	903.0	1060.0	33.0	57016.72	135.2	23512.95
PL-C2-L8	47.0	156.0	639.0	100.0	48385.19	410.1	24252.35
PL-C3-L1	72.0	73.0	387.33	159.0	49357.060000000005	986.33	22515.44
PL-C3-L10	33.0	2520.5	2957.5	130.5	51288.99999999999	22.5	10050.660000000002
PL-C3-L5	70.0	1047.5	1451.5	129.5	52601.58999999999	177.2	19121.720000000005
SB-C1-L1	5.0	264.0	1161.5	272.0	59291.349999999984	1427.3	21571.41
SB-C1-L3	0.0	518.0	1110.0	202.0	61608.23	990.8	16854.870000000003
SB-C1-L5	0.0	1160.0	1739.0	236.0	60257.21	639.1999999999999	13960.58
SB-C2-L1	0.0	75.0	1261.0	89.0	53795.310000000005	2207.9	23882.52
SB-C2-L4	18.5	206.0	1600.5	93.0	53733.44	2036.5	23352.95
SB-C2-L8	51.67	1478.0	2099.67	235.0	56979.31999999999	220.8	13119.4
SB-C3-L1	1.72	134.0	817.22	37.0	57806.69	2250.9	25539.66
SB-C3-L1-B	7.5	265.0	616.5	163.0	53240.37	2077.2	26263.94
SB-C3-L10	16.0	2804.0	3386.0	286.0	51709.85	209.79999999999995	14222.840000000004
SB-C3-L5	4.0	1843.0	2247.0	177.0	55482.40999999999	495.2000000000001	16279.510000000004
