	K00600: glyA, SHMT	K00830: AGXT	K00018: hprA	K11529: gck, gckA, GLYCTK	K01689: ENO, eno	K01595: ppc	K00024: mdh	K08692: mtkB	K14067: mtkA	K08691: mcl
KS-C1-L1	44813.02999999999	3700.83	7449.42	290.0	43820.94999999999	12302.63	41479.3	1256.0	1256.0	4438.67
KS-C1-L10	44289.40999999999	3861.0	5404.110000000001	548.0	43600.73999999999	10128.320000000002	39173.47	1278.0	1278.0	4377.01
KS-C1-L5	44783.48	1876.84	4353.24	1974.0	43880.98	6042.5	34899.149999999994	529.5	529.5	1508.0
KS-C2-L1	44526.34	2272.5	8671.83	59.0	44127.34	13269.34	43304.84	621.5	621.5	3867.5
KS-C2-L10	44958.79000000001	623.0	3252.25	2084.0	44278.79000000001	3316.24	34360.04	307.5	307.5	560.5
KS-C2-L5	46582.46999999999	3374.67	5881.09	628.0	44141.4	7475.160000000001	35697.65	802.5	802.5	2408.67
KS-C3-L1	43900.4	4855.5	9017.34	65.0	43153.23	17210.019999999997	41299.16	1495.5	1495.5	5584.82
KS-C3-L10	44903.66000000001	1470.34	2068.0	3799.0	44143.16000000001	3725.0	36086.16	665.5	665.5	1263.33
KS-C3-L5	43780.22	4330.5	9213.5	85.0	43099.63	15685.15	40919.9	910.0	910.0	3681.51
KS-C4-L2	44527.20999999999	3809.0	9812.5	63.0	43769.38	16678.96	42934.26	1088.5	1088.5	5343.0
KS-C4-L5	45017.07000000001	3019.6400000000003	7569.5	117.0	44357.600000000006	11454.929999999998	42673.600000000006	963.0	963.0	4211.9
KS-C5-L1	44481.77	3146.5	11116.09	22.0	43951.1	17653.61	43134.09	635.5	635.5	3849.0
KS-C5-L5	45194.91	5719.2	4501.0	703.0	44182.05	7440.44	39397.22	782.0	782.0	4670.1
KS-C5-L8	44140.62	3838.67	3214.0	2782.0	43161.62	6183.47	34800.21	1781.0	1781.0	2438.17
MB-C1-L1	43176.94999999999	7033.83	5535.889999999999	695.0	43181.08999999999	9984.830000000002	38743.240000000005	752.0	752.0	2403.83
MB-C2-L1	43822.170000000006	2885.33	1458.07	3602.0	43709.24	2609.2700000000004	35529.93000000001	401.0	401.0	879.0
MB-C2-L1-B	43246.96	9265.83	7903.07	148.0	42763.98999999999	16473.25	39391.35	911.0	911.0	3919.34
MB-C3-L1	43297.94999999999	8274.33	7270.67	192.0	42974.69999999999	14525.8	39856.77	970.0	970.0	3557.17
PL-C1-L1	43449.07000000001	9234.0	7109.610000000001	138.0	43342.66	15008.31	38856.91	1796.0	1796.0	6940.5
PL-C1-L4	43703.26000000001	6934.58	5305.77	851.0	43485.02	11154.529999999995	38392.32000000001	2041.5	2041.5	5968.33
PL-C1-L7	44287.380000000005	759.1700000000001	591.9	3442.0	44051.21	1551.26	39611.00000000001	112.67	112.67	374.0
PL-C2-L1	43620.780000000006	8884.66	7252.0	39.0	43347.46000000001	15578.84	40823.29000000001	2306.5	2306.5	7109.5
PL-C2-L1-B	44004.26000000002	8570.06	5824.63	22.0	43326.59000000002	15587.78	40129.77000000002	2313.5	2313.5	7958.5
PL-C2-L4	44291.780000000006	3232.87	1722.5	1354.0	43435.45	4855.26	36987.53	916.0	916.0	1814.0
PL-C2-L8	44742.85999999999	6516.33	5254.25	223.0	43559.12	13233.07	38060.88	2014.5	2014.5	5913.5
PL-C3-L1	43350.08	8780.34	7900.8	123.0	43175.05	14774.76	37705.5	1981.5	1981.5	6309.5
PL-C3-L10	44230.29999999998	1155.0	1465.88	3795.0	44234.79999999998	2180.21	35647.96999999999	313.0	313.0	477.33
PL-C3-L5	44049.06999999999	5165.83	3831.33	2102.0	44193.47999999999	9143.220000000005	35388.40000000001	2652.0	2652.0	4221.0
SB-C1-L1	44381.99999999999	6395.34	5266.5	465.0	44195.49999999999	10467.41	41062.16	627.0	627.0	2943.34
SB-C1-L3	44452.82	4520.5	3762.6	859.0	44326.02	6977.66	40437.01	456.5	456.5	2385.5
SB-C1-L5	44519.58	3435.5	2400.5	1607.0	44321.58	4447.599999999999	39724.7	382.0	382.0	1751.5
SB-C2-L1	44175.52	8808.5	7070.0	122.0	43836.02	15506.53	41283.07000000001	1572.5	1572.5	5975.17
SB-C2-L4	44150.2	8475.04	6226.33	286.0	43909.99999999999	14184.7	41165.09	1482.5	1482.5	5381.6
SB-C2-L8	44469.56999999999	2513.5	1252.27	2005.0	44185.56999999999	3455.74	39720.43999999999	365.0	365.0	1179.0
SB-C3-L1	44458.78999999999	8266.33	7484.25	179.0	44232.20999999999	13849.03	41760.42999999999	658.0	658.0	3315.5
SB-C3-L1-B	43929.850000000006	6772.17	8168.5	368.0	43745.530000000006	14199.44	39379.03	917.5	917.5	3725.16
SB-C3-L10	44908.60999999999	2669.0	3085.75	3066.0	44119.85999999999	3398.07	37309.06	489.5	489.5	1397.67
SB-C3-L5	44207.66999999999	3195.67	2970.79	2127.0	44037.919999999984	4499.52	38114.15	462.0	462.0	1416.33
