	K00925: ackA	K00625: E2.3.1.8, pta	K01895: ACSS1_2, acs	K00193: cdhC	K00197: cdhE, acsC	K00194: cdhD, acsD	K00577: mtrA	K00578: mtrB	K00579: mtrC	K00580: mtrD	K00581: mtrE	K00582: mtrF	K00583: mtrG	K00584: mtrH	K00399: mcrA	K00401: mcrB	K00402: mcrG	K03388: hdrA2	K03389: hdrB2	K03390: hdrC2	K08264: hdrD	K08265: hdrE	K14127: mvhD, vhuD, vhcD	K14126: mvhA, vhuA, vhcA	K14128: mvhG, vhuG, vhcG	K00125: fdhB
KS-C1-L1	23398.44	3456.6600000000003	54739.10999999999	199.0	8992.220000000001	8877.92	9.0	4.0	4.0	4.0	4.0	2.0	4.0	205.0	85.0	85.0	85.0	44766.170000000006	18139.18	7886.54	89.0	6.0	6606.17	3081.0	2178.0	721.67
KS-C1-L10	21738.54	3599.69	53277.41999999999	120.0	9297.09	9187.84	1.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	48.0	48.0	48.0	44958.15	18044.77	9428.59	48.0	0.0	7424.84	3802.0	3100.0	609.34
KS-C1-L5	17949.82	2664.32	48877.810000000005	141.0	14991.53	14812.38	5.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	59.0	59.0	59.0	48530.83	22311.05	14820.65	47.0	0.0	11783.5	8869.0	8307.0	556.0
KS-C2-L1	23332.5	1950.5	51770.68	79.0	7080.5	6937.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	50.0	50.0	50.0	23960.0	13920.0	4272.5	47.0	0.0	3522.0	2323.0	1317.0	219.0
KS-C2-L10	13765.619999999995	2258.17	47742.86	1067.67	18997.74	18839.09	29.34	0.67	0.67	0.67	0.67	0.67	0.67	1070.34	861.67	861.67	861.67	50449.28999999999	27792.06	21266.49	798.67	0.67	16061.5	12761.5	13478.5	85.0
KS-C2-L5	18997.65	3790.76	52469.05999999999	311.0	15219.72	14933.42	12.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0	99.0	99.0	99.0	44561.1	20839.61	11646.97	91.0	0.0	10036.17	6945.0	6003.0	413.67
KS-C3-L1	24026.73	3469.1400000000003	52352.97999999999	25.0	4783.57	4631.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	12.0	12.0	12.0	24778.34	10982.1	4792.459999999999	12.0	0.0	3219.32	1509.5	842.5	330.31999999999994
KS-C3-L10	15682.5	2040.33	46883.490000000005	511.0	18469.33	18351.33	9.0	1.0	1.0	1.0	1.0	1.0	1.0	517.0	390.0	390.0	390.0	44445.8	25323.99	20170.33	383.0	1.0	15824.83	13175.5	13391.5	91.33
KS-C3-L5	24388.520000000004	3673.07	52563.77999999999	63.0	7030.1900000000005	6930.09	8.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	53.0	53.0	53.0	34945.770000000004	14776.79	6514.51	40.0	0.0	4557.84	2032.0	1294.0	495.34
KS-C4-L2	22740.22	2181.12	51502.07999999998	10.0	4159.0	3984.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	17211.79	9013.79	3248.79	10.0	0.0	2044.0	1314.0	432.0	148.0
