	K08097: comA	K05979: comB	K05884: comC	K13039: comE	K06034: comD
KS-C1-L1	682.8	3186.13	0.0	41.83	13.83
KS-C1-L10	693.25	3125.77	0.0	59.0	39.0
KS-C1-L5	346.65	2111.4700000000003	0.0	34.0	19.67
KS-C2-L1	628.33	1946.33	0.0	93.17	6.5
KS-C2-L10	277.15	1688.15	0.0	71.67	2.0
KS-C2-L5	548.3	2577.57	0.0	35.0	21.0
KS-C3-L1	934.17	3170.34	0.0	85.34	2.0
KS-C3-L10	200.0	1452.34	0.0	38.34	18.34
KS-C3-L5	778.6	3304.35	0.0	129.0	7.0
KS-C4-L2	746.0	1977.83	0.0	247.33999999999995	21.33
KS-C4-L5	566.5	2495.67	0.0	125.17	5.84
KS-C5-L1	752.5	2212.98	0.0	166.66	21.0
KS-C5-L5	244.0	3419.0	0.0	75.0	28.0
KS-C5-L8	415.1	2309.7700000000004	0.0	62.0	29.67
MB-C1-L1	444.0	5255.85	0.0	186.33	54.33
MB-C2-L1	163.65	2845.43	0.0	288.83	16.33
MB-C2-L1-B	611.5	5260.35	5.0	362.84	242.5
MB-C3-L1	502.5	5604.75	0.0	281.33000000000004	142.0
PL-C1-L1	815.4	4449.69	0.0	96.67	32.0
PL-C1-L4	689.55	3631.04	0.0	85.0	10.0
PL-C1-L7	72.4	2478.4	0.0	154.0	12.0
PL-C2-L1	1270.3	4776.79	0.0	367.34	33.67
PL-C2-L1-B	1869.55	4869.35	8.0	273.48	70.82
PL-C2-L4	678.0	3209.04	0.0	32.0	19.0
PL-C2-L8	1580.2	3525.79	0.0	103.67	58.0
PL-C3-L1	833.5	4192.74	5.0	81.0	20.0
PL-C3-L10	229.3	3014.4999999999995	0.0	114.17	0.0
PL-C3-L5	300.95	3397.28	0.0	64.5	2.0
SB-C1-L1	397.75	5924.84	0.0	176.67	46.67
SB-C1-L3	234.25	5022.25	0.0	175.0	62.0
SB-C1-L5	165.25	4328.63	0.0	269.5	65.5
SB-C2-L1	506.5	4728.12	0.0	113.0	69.0
SB-C2-L4	519.5	4940.54	0.0	155.32999999999998	88.0
SB-C2-L8	173.2	3498.41	3.0	149.32999999999998	1.33
SB-C3-L1	436.12	5826.95	0.0	115.33	102.33
SB-C3-L1-B	561.6	4818.07	2.0	96.5	57.17
SB-C3-L10	136.85	3215.07	0.0	193.0	5.0
SB-C3-L5	166.95	4454.58	6.0	154.67000000000002	33.67
