	K11780: cofG	K11781: cofH	K14941: cofC, fbiD	K11212: cofD	K12234: cofE
KS-C1-L1	5.0	7.0	2635.83	7201.08	7426.08
KS-C1-L10	5.0	1.0	2759.5	9037.0	9176.0
KS-C1-L5	5.0	5.0	556.83	8643.0	8848.0
KS-C2-L1	25.0	4.0	1509.0	6795.0	6961.0
KS-C2-L10	29.67	30.34	314.67	8038.67	9183.67
KS-C2-L5	21.0	21.0	768.1	7125.55	7492.55
KS-C3-L1	2.0	0.0	4969.17	9571.67	9519.17
KS-C3-L10	10.0	10.0	494.84	8330.84	8948.84
KS-C3-L5	16.0	8.0	2640.75	6923.5	6989.5
KS-C4-L2	0.0	0.0	3489.33	8522.33	8617.33
KS-C4-L5	3.0	3.0	2510.34	7446.84	7629.84
KS-C5-L1	7.0	4.0	2157.5	7009.75	7127.75
KS-C5-L5	58.0	58.0	1113.5	6233.5	6480.5
KS-C5-L8	35.33	17.66	655.0	6127.0	6286.0
MB-C1-L1	56.5	58.5	2782.83	7271.83	7882.83
MB-C2-L1	152.5	147.5	604.83	6414.83	9999.83
MB-C2-L1-B	32.67	35.34	4495.67	9993.67	10177.67
MB-C3-L1	38.5	36.5	4428.0	9546.0	9753.0
PL-C1-L1	6.0	7.0	5180.83	11140.08	11126.08
PL-C1-L4	32.0	30.0	3893.16	9622.83	10076.83
PL-C1-L7	104.0	100.0	301.0	4910.0	7021.0
PL-C2-L1	15.0	3.0	5047.5	9404.5	9125.5
PL-C2-L1-B	20.5	20.5	9194.66	13783.16	12995.16
PL-C2-L4	11.0	11.0	1938.16	9467.33	10460.33
PL-C2-L8	7.0	7.0	8285.16	14364.83	14205.83
PL-C3-L1	6.5	6.5	5394.5	12297.0	12248.0
PL-C3-L10	92.5	92.5	553.5	9355.0	12220.0
PL-C3-L5	29.5	28.5	3962.84	12990.42	14278.42
SB-C1-L1	46.0	46.0	3752.67	7600.17	8150.17
SB-C1-L3	11.0	11.0	2753.0	6902.0	7702.0
SB-C1-L5	19.0	19.0	1703.0	6552.5	8041.5
SB-C2-L1	7.0	4.0	6916.0	10588.5	10684.5
SB-C2-L4	33.0	31.0	6236.0	10010.0	10272.0
SB-C2-L8	70.0	70.0	1469.33	7138.33	8914.33
SB-C3-L1	16.0	16.0	4272.83	7611.83	7994.83
SB-C3-L1-B	26.0	33.0	6219.67	10334.67	10719.67
SB-C3-L10	91.0	91.0	1389.0	7856.0	11061.0
SB-C3-L5	33.0	35.0	1990.67	7897.42	10101.42
