	K00192: cdhA	K00195: cdhB	K00193: cdhC	K00197: cdhE, acsC	K00194: cdhD, acsD
KS-C1-L1	201.0	199.0	199.0	8992.220000000001	8877.92
KS-C1-L10	120.0	120.0	120.0	9297.09	9187.84
KS-C1-L5	141.0	141.0	141.0	14991.53	14812.38
KS-C2-L1	79.0	79.0	79.0	7080.5	6937.0
KS-C2-L10	1068.34	1068.34	1067.67	18997.74	18839.09
KS-C2-L5	311.0	311.0	311.0	15219.72	14933.42
KS-C3-L1	25.0	25.0	25.0	4783.57	4631.57
KS-C3-L10	511.0	511.0	511.0	18469.33	18351.33
KS-C3-L5	63.0	63.0	63.0	7030.1900000000005	6930.09
KS-C4-L2	10.0	10.0	10.0	4159.0	3984.5
KS-C4-L5	100.0	100.0	100.0	8938.0	8839.0
KS-C5-L1	20.0	20.0	20.0	2982.25	2869.75
KS-C5-L5	215.0	204.0	210.0	12265.17	12216.17
KS-C5-L8	97.66	97.66	97.66	13454.83	13289.0
MB-C1-L1	311.0	311.0	311.0	8939.5	8461.2
MB-C2-L1	3012.5	3012.5	3012.5	17600.15	17338.0
MB-C2-L1-B	45.01	44.34	43.67	5037.68	4701.68
MB-C3-L1	56.5	56.5	60.0	6021.92	5638.92
PL-C1-L1	73.0	73.0	73.0	5343.15	5250.75
PL-C1-L4	451.0	451.0	451.0	10618.13	10478.08
PL-C1-L7	1846.0	1846.0	1846.0	27004.27	26905.87
PL-C2-L1	13.0	13.0	13.0	1348.8	1293.5
PL-C2-L1-B	27.0	27.0	27.0	1025.8	957.75
PL-C2-L4	903.0	903.0	903.0	12755.05	10239.75
PL-C2-L8	156.0	156.0	156.0	4366.45	4222.25
PL-C3-L1	73.0	73.0	73.0	5192.75	5057.25
PL-C3-L10	2520.5	2520.5	2520.5	19301.38	19201.58
PL-C3-L5	1047.5	1047.5	1047.5	10792.0	10619.25
SB-C1-L1	264.0	264.0	264.0	13456.84	13380.59
SB-C1-L3	518.0	518.0	518.0	18500.8	18304.55
SB-C1-L5	1160.0	1160.0	1160.0	21506.5	21395.25
SB-C2-L1	75.0	75.0	75.0	8814.17	8765.67
SB-C2-L4	206.0	206.0	206.0	8922.5	8846.5
SB-C2-L8	1478.0	1478.0	1478.0	19853.2	19632.5
SB-C3-L1	134.0	134.0	134.0	10708.9	10572.0
SB-C3-L1-B	265.0	265.0	265.0	7469.91	7375.809999999999
SB-C3-L10	2806.0	2806.0	2806.0	17241.52	17083.17
SB-C3-L5	1843.0	1843.0	1843.0	15934.03	15740.08
