	K00200: fwdA, fmdA	K00201: fwdB, fmdB	K00202: fwdC, fmdC	K00203: fwdD, fmdD	K11261: fwdE, fmdE	K00205: fwdF, fmdF	K11260: fwdG	K00204: fwdH	K00672: ftr	K01499: mch	K00319: mtd	K00320: mer	K00577: mtrA	K00578: mtrB	K00579: mtrC	K00580: mtrD	K00581: mtrE	K00582: mtrF	K00583: mtrG	K00584: mtrH	K00399: mcrA	K00401: mcrB	K00402: mcrG	K03388: hdrA2	K03389: hdrB2	K03390: hdrC2	K08264: hdrD	K08265: hdrE	K14127: mvhD, vhuD, vhcD	K14126: mvhA, vhuA, vhcA	K14128: mvhG, vhuG, vhcG	K00125: fdhB
KS-C1-L1	1453.0	1450.5	1255.5	201.0	16724.65	87.0	4.0	0.0	1448.5	1256.0	2.0	518.5799999999999	9.0	4.0	4.0	4.0	4.0	2.0	4.0	205.0	85.0	85.0	85.0	44766.170000000006	18139.18	7886.54	89.0	6.0	6606.17	3081.0	2178.0	721.67
KS-C1-L10	1710.5	1706.0	1586.0	120.0	15753.44	48.0	0.0	0.0	1706.0	1588.5	0.0	311.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	48.0	48.0	48.0	44958.15	18044.77	9428.59	48.0	0.0	7424.84	3802.0	3100.0	609.34
KS-C1-L5	700.0	694.5	553.5	141.0	15040.03	47.0	0.0	0.0	694.5	559.38	0.0	244.33	5.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	59.0	59.0	59.0	48530.83	22311.05	14820.65	47.0	0.0	11783.5	8869.0	8307.0	556.0
KS-C2-L1	474.5	474.5	397.5	79.0	11618.5	49.0	2.0	0.0	474.5	397.5	2.0	160.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	50.0	50.0	50.0	23960.0	13920.0	4272.5	47.0	0.0	3522.0	2323.0	1317.0	219.0
KS-C2-L10	1405.84	1407.18	340.51	1069.01	12958.91	801.01	2.34	0.0	1405.17	339.17	1.67	1119.67	29.34	0.67	0.67	0.67	0.67	0.67	0.67	1070.34	861.67	861.67	861.67	50449.28999999999	27792.06	21266.49	798.67	0.67	16061.5	12761.5	13478.5	85.0
KS-C2-L5	1365.0	1365.0	1063.0	311.0	16952.9	100.0	9.0	0.0	1365.0	1063.25	9.0	514.25	12.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0	99.0	99.0	99.0	44561.1	20839.61	11646.97	91.0	0.0	10036.17	6945.0	6003.0	413.67
KS-C3-L1	1499.0	1490.5	1468.5	25.0	10414.78	20.0	0.0	0.0	1493.5	1474.0	0.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	12.0	12.0	12.0	24778.34	10982.1	4792.459999999999	12.0	0.0	3219.32	1509.5	842.5	330.31999999999994
KS-C3-L10	1148.5	1149.5	640.5	512.0	11489.32	385.0	4.0	0.0	1148.5	640.5	3.0	587.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	517.0	390.0	390.0	390.0	44445.8	25323.99	20170.33	383.0	1.0	15824.83	13175.5	13391.5	91.33
KS-C3-L5	946.0	929.5	866.5	63.0	14140.71	40.0	0.0	0.0	929.5	875.0	0.0	240.5	8.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	53.0	53.0	53.0	34945.770000000004	14776.79	6514.51	40.0	0.0	4557.84	2032.0	1294.0	495.34
KS-C4-L2	932.17	925.17	915.17	10.0	7759.0	10.0	0.0	0.0	925.17	915.17	0.0	276.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	17211.79	9013.79	3248.79	10.0	0.0	2044.0	1314.0	432.0	148.0
