	K10977: aksA	K16792: aksD	K16793: aksE	K10978: aksF
KS-C1-L1	2.0	3.0	2.0	2.0
KS-C1-L10	0.0	0.0	0.0	0.0
KS-C1-L5	12.0	1.67	13.0	12.0
KS-C2-L1	3.0	1.0	4.0	3.0
KS-C2-L10	63.67	3.67	67.34	63.67
KS-C2-L5	8.0	0.0	8.0	8.0
KS-C3-L1	0.0	0.0	0.0	0.0
KS-C3-L10	8.0	7.84	12.5	8.0
KS-C3-L5	13.0	0.0	13.0	13.0
KS-C4-L2	0.0	3.0	3.0	0.0
KS-C4-L5	0.0	3.17	2.5	0.0
KS-C5-L1	0.0	6.5	6.5	0.0
KS-C5-L5	44.0	36.0	46.0	44.0
KS-C5-L8	8.33	3.5	9.83	8.33
MB-C1-L1	63.0	13.83	67.0	63.0
MB-C2-L1	239.5	8.83	239.5	239.5
MB-C2-L1-B	28.67	4.17	26.17	22.67
MB-C3-L1	13.5	18.5	25.5	10.5
PL-C1-L1	8.0	2.0	8.0	8.0
PL-C1-L4	38.0	0.0	38.0	38.0
PL-C1-L7	140.0	3.0	140.0	140.0
PL-C2-L1	10.0	10.34	10.0	10.0
PL-C2-L1-B	2.0	18.32	4.0	2.0
PL-C2-L4	12.0	23.5	12.5	12.0
PL-C2-L8	6.0	32.17	7.5	6.0
PL-C3-L1	6.0	4.0	6.0	6.0
PL-C3-L10	108.5	1.5	108.5	108.5
PL-C3-L5	59.5	3.5	59.5	59.5
SB-C1-L1	123.0	0.67	123.0	123.0
SB-C1-L3	107.0	0.0	107.0	107.0
SB-C1-L5	208.0	4.0	208.0	208.0
SB-C2-L1	3.0	0.0	3.0	3.0
SB-C2-L4	36.0	0.0	36.0	36.0
SB-C2-L8	125.0	0.0	125.0	125.0
SB-C3-L1	8.0	0.0	8.0	8.0
SB-C3-L1-B	30.0	7.0	30.0	30.0
SB-C3-L10	157.0	1.5	157.5	157.0
SB-C3-L5	120.0	8.5	120.5	120.0
