	PC1	PC2	PC3	uniqID	filename_prefix	temperature	ph	orp	salinity	conductivity	tds	depthlayer	site	site_depthlayer	depth_cm	Nitrogen_Store	OC_Store	OC_percent	moisture_content	cell_abundance	particle_size_analysis	sand_percent	silt_percent	clay_percent	old_name
KS-C1-L1	-4.255416992471637	-1.0185498364165129	-0.4070426086746883	KS-C1-L1	KS-C1-L1	29.0	7.2	-7.4	31.53	48.4	24.27	Top	KS	KS_Top	10	23.99	559.1	7.68	99.6	1830000000.0	3.12	1.77	44.6	48.87	2022-KS-C1-L1
KS-C1-L10	-3.0315090966838	-3.177385079776463	-0.8482914916772296	KS-C1-L10	KS-C1-L10	29.0	7.2	-7.4	31.53	48.4	24.27	Bottom	KS	KS_Bottom	100	13.86	222.07	2.3	86.13	395000000.0	7.13	0.82	81.09	17.75	2022-KS-C1-L10
KS-C1-L5	4.271946996442383	-3.2160828797471153	-1.6778885621731163	KS-C1-L5	KS-C1-L5	29.0	7.2	-7.4	31.53	48.4	24.27	Middle	KS	KS_Middle	50	13.3	333.03	3.89	79.28	838000000.0	8.13	8.79	71.52	19.31	2022-KS-C1-L5
KS-C2-L1	-3.8478459353944165	0.9567912002875483	-1.2283051551164823	KS-C2-L1	KS-C2-L1	30.0	6.99	-4.7	20.82	35.45	17.2	Top	KS	KS_Top	10	16.36	199.93	4.36	91.32	1830000000.0	2.53	2.62	32.19	60.74	2022-KS-C2-L1
KS-C2-L10	9.151528702721837	2.24468359597282	-0.8423380619567968	KS-C2-L10	KS-C2-L10	28.0	6.99	-4.7	20.82	35.45	17.2	Bottom	KS	KS_Bottom	100	13.23	158.76	1.65	102.24	865000000.0	5.27	4.4	59.53	33.74	2022-KS-C2-L10
KS-C2-L5	0.1939927960204013	-3.0974826499150434	-1.5476174001439098	KS-C2-L5	KS-C2-L5	30.0	6.99	-4.7	20.82	35.45	17.2	Middle	KS	KS_Middle	50	15.15	243.56	2.84	95.09	699000000.0	3.15	6.99	40.22	47.52	2022-KS-C2-L5
KS-C3-L1	-4.938764082141348	1.9922308790646561	-0.5849653344325788	KS-C3-L1	KS-C3-L1	30.0	6.76	-7.8	37.47	56.6	28.3	Top	KS	KS_Top	10	20.22	248.35	3.41	90.36	1880000000.0	2.09	1.69	21.51	72.85	2022-KS-C3-L1
KS-C3-L10	8.806911939528973	1.8420689615713202	-0.9493974004754553	KS-C3-L10	KS-C3-L10	31.0	6.76	-7.8	37.47	56.6	28.3	Bottom	KS	KS_Bottom	100	14.33	176.2	1.83	70.03	654000000.0	11.12	10.28	85.79	3.93	2022-KS-C3-L10
KS-C3-L5	-4.5553028077681805	1.05851958215235	-0.3420698328376846	KS-C3-L5	KS-C3-L5	29.0	6.76	-7.8	37.47	56.6	28.3	Middle	KS	KS_Middle	50	14.21	177.72	2.07	83.46	239000000.0	2.31	1.56	28.64	65.13	2022-KS-C3-L5
KS-C4-L2	-4.6219051933649675	2.9812121590004392	-1.0040722323338775	KS-C4-L2	KS-C4-L2							Top	KS	KS_Top	10	16.16	213.97	2.94	80.5	328000000.0	1.52	1.55	5.64	86.6	2022-KS-C4-L2
